ABN13018	8	0.421053
SEF68642	7	0.888889
ADZ75355	7	0.745098
ABN13101	7	0.6875
ABM54175	7	0.666667
AAB38709	7	0.666667
AAO60369	6	0.747253
AAC25057	6	0.75
AAB70814	6	0.767677
ABN13032	5	0.8
ABM54174	5	0.828283
ABB69919	5	0.875
AAB65662	5	0.945055
AAB38710	5	1.04762
KIO48008	4	1.06667
CAD62122	4	1.25
CAD62102	4	1.56863
BAA92239	3	1.77778
AFI41756	3	3.26316
AEJ02636	3	0.25
ABN12956	3	-2.7619
CAD62111	2	-0.727273
AGC92913	2	-0.405797
AGC92899	2	-0.25
AFL48430	2	-0.16
AFI41663	2	-0.102564
AFI41610	2	-0.0634921
AFI41603	2	-0.0357143
ACJ54085	2	-0.0153257
ABR29000	2	0
ABN12981	2	0.0117302
ABN12978	2	0.0208333
AAL86638	2	0.027972
KFI21872	1	0.134454
CAD62423	1	0.133333
CAD62405	1	0.131944
CAD62390	1	0.130366
CAD62142	1	0.128655
CAD62114	1	0.126856
CAC84851	1	0.125
BAB84331	1	0.123113
AGC92918	1	0.121212
AGC92912	1	0.119312
AFL48484	1	0.117424
AFL48409	1	0.115556
AFL48404	1	0.113712
AFL48359	1	0.111899
AFL48358	1	0.110119
AFL48355	1	0.108374
AFL48342	1	0.106667
AFL48324	1	0.104997
AFI41643	1	0.103365
AFI41621	1	0.101772
AFI41593	1	0.100218
AFI41578	1	0.0987013
AFI41460	1	0.0972222
ADZ75344	1	0.09578
ADE13856	1	0.0943739
ACY38036	1	0.093003
ACJ54124	1	0.0916667
ACJ54084	1	0.0903639
ABR28957	1	0.0890937
ABR28934	1	0.0878553
ABN13089	1	0.0866477
ABN13056	1	0.0854701
ABN13054	1	0.0843215
ABN13040	1	0.083201
ABN13031	1	0.0821078
ABN13014	1	0.0810411
ABN12996	1	0.08
ABN12975	1	0.0789837
ABN12963	1	0.0779915
ABN11243	1	0.0770225
ABN04012	1	0.0760761
ABB69924	1	0.0751515
AAL86637	1	0.0742481
AAB48534	1	0.0733652
